Dam (m²/s);Densidade (mol/m³);Pressão de vapor (Pa);Tempo de evaporação (s)
1.00000e-04;1133.33;3.24;8678308.52
5.00000e-05;1155.56;3.24;17696942.86
5.55556e-05;1155.56;3.24;15927248.57
6.11111e-05;1155.56;3.24;14479316.88
6.66667e-05;1155.56;3.24;13272707.14
7.22222e-05;1155.56;3.24;12251729.67
7.77778e-05;1155.56;3.24;11376606.12
8.33333e-05;1155.56;3.24;10618165.71
8.88889e-05;1155.56;3.24;9954530.36
9.44444e-05;1155.56;3.24;9368969.75
1.00000e-04;1155.56;3.24;8848471.43
5.00000e-05;1177.78;3.24;18037268.68
5.55556e-05;1177.78;3.24;16233541.81
6.11111e-05;1177.78;3.24;14757765.28
6.66667e-05;1177.78;3.24;13527951.51
7.22222e-05;1177.78;3.24;12487339.86
7.77778e-05;1177.78;3.24;11595387.01
8.33333e-05;1177.78;3.24;10822361.21
8.88889e-05;1177.78;3.24;10145963.63
9.44444e-05;1177.78;3.24;9549142.24
1.00000e-04;1177.78;3.24;9018634.34
5.00000e-05;1200.00;3.24;18377594.51
5.55556e-05;1200.00;3.24;16539835.05
6.11111e-05;1200.00;3.24;15036213.69
6.66667e-05;1200.00;3.24;13783195.88
7.22222e-05;1200.00;3.24;12722950.04
7.77778e-05;1200.00;3.24;11814167.90
