Distância da Fonte [R];Dam [m²/2];Pressao parcial [Pa];Distribuição do Tempo de Difusão;Pressão Total [P]
0.064;6e-05;3.2;26272.5;4
0.073;6e-05;3.2;34181.1;4
0.082;6e-05;3.2;43128.9;4
0.091;6e-05;3.2;53115.8;4
0.1;6e-05;3.2;64141.8;4
0.01;6.5e-05;3.2;592.078;4
0.019;6.5e-05;3.2;2137.4;4
0.028;6.5e-05;3.2;4641.89;4
0.037;6.5e-05;3.2;8105.54;4
0.046;6.5e-05;3.2;12528.4;4
0.055;6.5e-05;3.2;17910.4;4
0.064;6.5e-05;3.2;24251.5;4
0.073;6.5e-05;3.2;31551.8;4
0.082;6.5e-05;3.2;39811.3;4
0.091;6.5e-05;3.2;49030;4
0.1;6.5e-05;3.2;59207.8;4
0.01;7e-05;3.2;549.786;4
0.019;7e-05;3.2;1984.73;4
0.028;7e-05;3.2;4310.33;4
0.037;7e-05;3.2;7526.58;4
0.046;7e-05;3.2;11633.5;4
0.055;7e-05;3.2;16631;4
0.064;7e-05;3.2;22519.3;4
0.073;7e-05;3.2;29298.1;4
0.082;7e-05;3.2;36967.6;4
0.091;7e-05;3.2;45527.8;4
0.1;7e-05;3.2;54978.6;4
