Dam_m2_s;Ca_mol_m3;L_membrana_m
1.435897e-05;0.700000;55.445130
1.435897e-05;0.707692;54.023460
1.435897e-05;0.715385;52.601790
1.435897e-05;0.723077;51.180120
1.435897e-05;0.730769;49.758450
1.435897e-05;0.738462;48.336780
1.435897e-05;0.746154;46.915110
1.435897e-05;0.753846;45.493440
1.435897e-05;0.761538;44.071770
1.435897e-05;0.769231;42.650100
1.435897e-05;0.776923;41.228430
1.435897e-05;0.784615;39.806760
1.435897e-05;0.792308;38.385090
1.435897e-05;0.800000;36.963420
1.461538e-05;0.500000;90.787347
1.461538e-05;0.507692;89.390618
1.461538e-05;0.515385;87.993890
1.461538e-05;0.523077;86.597161
1.461538e-05;0.530769;85.200433
1.461538e-05;0.538462;83.803705
1.461538e-05;0.546154;82.406976
1.461538e-05;0.553846;81.010248
1.461538e-05;0.561538;79.613519
1.461538e-05;0.569231;78.216791
1.461538e-05;0.576923;76.820063
1.461538e-05;0.584615;75.423334
1.461538e-05;0.592308;74.026606
1.461538e-05;0.600000;72.629877
1.461538e-05;0.607692;71.233149
1.461538e-05;0.615385;69.836421
1.461538e-05;0.623077;68.439692
1.461538e-05;0.630769;67.042964
1.461538e-05;0.638462;65.646235
1.461538e-05;0.646154;64.249507
1.461538e-05;0.653846;62.852778
1.461538e-05;0.661538;61.456050
1.461538e-05;0.669231;60.059322
1.461538e-05;0.676923;58.662593
1.461538e-05;0.684615;57.265865
1.461538e-05;0.692308;55.869136
1.461538e-05;0.700000;54.472408
1.461538e-05;0.707692;53.075680
1.461538e-05;0.715385;51.678951
1.461538e-05;0.723077;50.282223
1.461538e-05;0.730769;48.885494
1.461538e-05;0.738462;47.488766
1.461538e-05;0.746154;46.092038
1.461538e-05;0.753846;44.695309
1.461538e-05;0.761538;43.298581
1.461538e-05;0.769231;41.901852
1.461538e-05;0.776923;40.505124
1.461538e-05;0.784615;39.108396
1.461538e-05;0.792308;37.711667
1.461538e-05;0.800000;36.314939
1.487179e-05;0.500000;89.222048
1.487179e-05;0.507692;87.849401
1.487179e-05;0.515385;86.476754
1.487179e-05;0.523077;85.104107
1.487179e-05;0.530769;83.731460
1.487179e-05;0.538462;82.358813
1.487179e-05;0.546154;80.986166
1.487179e-05;0.553846;79.613519
