Dam (Difusividade no ar);Densidade;Pressão de Vapor;Tempo de Evaporacao;Pressão Total
9.5e-05;1180;3.072;4.93674e+10;4
0.0001;1180;3.072;4.6899e+10;4
5e-05;1200;3.072;9.53879e+10;4
5.5e-05;1200;3.072;8.67163e+10;4
6e-05;1200;3.072;7.94899e+10;4
6.5e-05;1200;3.072;7.33753e+10;4
7e-05;1200;3.072;6.81342e+10;4
7.5e-05;1200;3.072;6.35919e+10;4
8e-05;1200;3.072;5.96174e+10;4
8.5e-05;1200;3.072;5.61105e+10;4
9e-05;1200;3.072;5.29933e+10;4
9.5e-05;1200;3.072;5.02042e+10;4
0.0001;1200;3.072;4.76939e+10;4
5e-05;1000;3.136;7.57833e+10;4
5.5e-05;1000;3.136;6.88939e+10;4
6e-05;1000;3.136;6.31528e+10;4
6.5e-05;1000;3.136;5.82949e+10;4
7e-05;1000;3.136;5.41309e+10;4
7.5e-05;1000;3.136;5.05222e+10;4
8e-05;1000;3.136;4.73646e+10;4
8.5e-05;1000;3.136;4.45784e+10;4
9e-05;1000;3.136;4.21018e+10;4
9.5e-05;1000;3.136;3.9886e+10;4
0.0001;1000;3.136;3.78917e+10;4
5e-05;1020;3.136;7.7299e+10;4
5.5e-05;1020;3.136;7.02718e+10;4
6e-05;1020;3.136;6.44158e+10;4
6.5e-05;1020;3.136;5.94608e+10;4
7e-05;1020;3.136;5.52136e+10;4
7.5e-05;1020;3.136;5.15327e+10;4
8e-05;1020;3.136;4.83119e+10;4
8.5e-05;1020;3.136;4.547e+10;4
9e-05;1020;3.136;4.29439e+10;4
9.5e-05;1020;3.136;4.06837e+10;4
0.0001;1020;3.136;3.86495e+10;4
5e-05;1040;3.136;7.88147e+10;4
5.5e-05;1040;3.136;7.16497e+10;4
6e-05;1040;3.136;6.56789e+10;4
6.5e-05;1040;3.136;6.06267e+10;4
7e-05;1040;3.136;5.62962e+10;4
7.5e-05;1040;3.136;5.25431e+10;4
8e-05;1040;3.136;4.92592e+10;4
8.5e-05;1040;3.136;4.63616e+10;4
9e-05;1040;3.136;4.37859e+10;4
9.5e-05;1040;3.136;4.14814e+10;4
0.0001;1040;3.136;3.94073e+10;4
5e-05;1060;3.136;8.03303e+10;4
